State,City,Count,Lat,Lng
California,San Francisco,2549,37.6863472688172,-122.32924543010762
New York,New York,2053,40.75604430597011,-73.98603002238791
California,Palo Alto,450,37.3613428,-122.0120871
Massachusetts,Boston,437,42.344929431034494,-71.0072793448276
California,Los Angeles,435,33.970957901639345,-118.2955813852459
Washington,Seattle,414,47.57233999999998,-122.23779357500025
Texas,Austin,392,30.326505816091935,-97.73459402298853
Illinois,Chicago,389,41.84789181188118,-87.67456791089113
California,Mountain View,354,36.89368714285714,-121.24240442857142
Massachusetts,Cambridge,290,42.394734142857146,-71.20797742857143
California,San Diego,285,32.85711492380955,-117.0373063142857
California,San Jose,281,37.27882654545458,-121.81902791919192
California,Sunnyvale,231,36.44597763636364,-120.9633987272727
California,Redwood City,225,37.408986375,-122.208050875
California,San Mateo,223,37.51738553465349,-122.27439284158432
Georgia,Atlanta,209,33.822957218487396,-84.40122060504198
California,Santa Clara,205,36.03870546666666,-120.4834217333333
California,Santa Monica,190,34.00564420792088,-118.47945371287105
California,Menlo Park,146,37.405523200000005,-122.2429684
Colorado,Denver,145,39.7435037525773,-104.87196895876285
Colorado,Boulder,139,40.05887675,-105.3353618125
District of Columbia,Washington,128,38.89608695207664,-77.02109777635782
Pennsylvania,Pittsburgh,121,40.43973607874018,-79.99431141732298
Pennsylvania,Philadelphia,118,39.99389995041322,-75.14207979338846
Oregon,Portland,118,45.52501525742577,-122.60847207920801
Texas,Dallas,116,32.78261020000005,-96.7855127333334
Florida,Miami,105,25.742200186567135,-80.2809166492538
California,Oakland,93,37.78064285000003,-122.20169248333347
Tennessee,Nashville,90,36.16233242201846,-86.7883665412843
Texas,Houston,84,29.798803752525277,-95.423416989899
California,Irvine,84,33.685958052631584,-117.80229826315791
California,Berkeley,79,37.85538554545454,-122.239959
North Carolina,Durham,77,35.995299059405895,-78.89688959405923
Maryland,Baltimore,77,39.30155074712636,-76.61634412643693
Missouri,St Louis,73,38.63711316406252,-90.29315422656232
Massachusetts,Waltham,73,42.39304071428571,-71.26560157142856
Minnesota,Minneapolis,72,44.992356927272795,-93.32185210000003
Nevada,Las Vegas,68,36.09128086315788,-115.13999633684203
Washington,Bellevue,66,47.528740222222225,-122.05542744444445
Ohio,Cincinnati,63,39.16670147863244,-84.48728758119657
