State,Market Name,Count
Alabama,Cloud Computing,1
Alabama,Health Care,2
Alabama,Gaming,1
Alabama,Automotive,1
Alabama,Software,3
Alabama,Mobile Apps,1
Alabama,Search Engine,1
Alabama,Photo Sharing,1
Alabama,Apps,1
Alabama,EdTech,1
Alabama,Mobile,1
Alabama,Digital Marketing,1
Alabama,Medical,1
Alabama,Family,1
Alabama,E-Commerce,1
Alabama,Financial Services,1
Alabama,Ticketing,1
Alabama,Pharmaceutical,1
Alabama,Internet,1
Alabama,Sporting Goods,1
Arkansas,E-Commerce,2
Arkansas,Hospitality,1
Arkansas,Education,2
Arkansas,Mobile,1
Arkansas,Digital Media,1
Arkansas,Logistics,1
Arkansas,Software,1
Arkansas,Casual Games,1
Arkansas,Social Media,2
Arkansas,Analytics,1
Arkansas,Enterprise Software,3
Arkansas,Finance,2
Arkansas,Payments,1
Arkansas,SaaS,1
Arkansas,Retail,1
Arkansas,Crowdsourcing,1
Arkansas,Health Care,2
Arkansas,Security,1
Arkansas,Nanotechnology,1
Arkansas,Customer Service,1
Arkansas,Personalization,1
Indiana,Information Technology,3
Indiana,Industrial,1
Indiana,Enterprise Software,2
Indiana,Management Consulting,1
Indiana,Advertising,1
Indiana,E-Commerce,4
Indiana,Health Diagnostics,1
Indiana,Biotechnology,1
Indiana,Marketing,1
Indiana,Cloud Data Services,1
Indiana,Pharmaceutical,1
Indiana,Medical Device,5
Indiana,Software,9
Indiana,Non Profit,1
Indiana,SaaS,2
Indiana,Sports,1
Indiana,Marketing Automation,3
Indiana,Mobile,4
Indiana,Cause Marketing,1
Indiana,Automotive,1
Indiana,Industrial Automation,1
Indiana,Billing,1
Indiana,Enterprise Applications,1
Indiana,Cloud Computing,1
Indiana,Health Care,10
Indiana,Big Data,2
Indiana,Public Transportation,1
Indiana,Manufacturing,2
Indiana,Logistics,1
Indiana,Energy,2
Indiana,Apps,1
Indiana,Social Media,3
Indiana,Android,1
Indiana,Public Relations,1
Indiana,Fitness,1
Indiana,Digital Signage,1
Indiana,Information Services,1
Indiana,Developer Platform,1
Indiana,Smart Building,1
Indiana,Hardware,3
Indiana,Video,1
Indiana,Real Estate,1
Indiana,E-Learning,1
Indiana,Education,2
