State,Year,Count
Alabama,2013,2
Alabama,2004,1
Alabama,2006,1
Alabama,2011,4
Alabama,2015,2
Alabama,2012,4
Alabama,2014,3
Alabama,2016,1
Alabama,2000,1
Alabama,2009,1
Alabama,1999,1
Alabama,1996,1
Alabama,2001,1
Arkansas,1995,1
Arkansas,2011,3
Arkansas,2014,5
Arkansas,2010,3
Arkansas,2013,4
Arkansas,2009,2
Arkansas,2012,3
Arkansas,2008,1
Arkansas,2015,4
Arkansas,2002,1
Arkansas,2005,1
Indiana,2010,11
Indiana,2012,15
Indiana,1995,2
Indiana,2011,8
Indiana,1998,1
Indiana,2003,3
Indiana,2006,7
Indiana,2013,12
Indiana,2002,2
Indiana,2009,6
Indiana,2015,9
Indiana,2016,1
Indiana,2014,6
Indiana,1996,1
Indiana,2001,2
Indiana,2000,1
Indiana,2005,5
Indiana,2008,1
Indiana,1972,1
Indiana,2004,1
Indiana,1994,1
Indiana,2007,1
California,1980,4
California,2010,547
California,2013,940
California,2014,913
California,1998,74
California,2015,603
California,2000,105
California,1997,36
California,1993,5
California,1976,1
California,2004,162
California,1982,5
California,2005,201
California,2003,112
California,2007,297
California,2006,264
California,2009,377
California,1983,7
California,2008,304
California,2012,891
California,2011,700
California,2001,90
California,2002,90
California,1996,41
California,1995,25
California,2016,238
California,1989,11
California,1999,118
California,1986,5
California,1968,2
California,1973,1
California,1984,4
California,1942,1
California,1994,9
California,1992,11
California,1990,6
California,1977,1
California,2017,30
California,1987,4
California,1965,1
California,1972,1
California,1978,1
California,1979,3
California,1981,2
California,1988,2
California,1991,2
Iowa,2014,10
Iowa,2016,2
Iowa,2008,1
Iowa,2007,1
Iowa,2012,9
Iowa,2015,1
Iowa,2013,2
Iowa,2000,1
Iowa,1997,1
Iowa,2010,1
Iowa,1996,1
Iowa,2009,2
Iowa,2011,1
Iowa,2004,1
Kansas,2011,9
Kansas,2015,1
Kansas,2010,6
Kansas,1998,1
Kansas,2014,2
Kansas,2005,2
Kansas,2013,6
Kansas,2008,3
Kansas,1989,1
Kansas,2007,1
Kansas,2012,4
Kansas,1899,1
Kansas,2001,1
Kansas,2009,1
Kansas,2006,2
Kansas,1999,1
Kansas,1931,1
Kentucky,2007,1
Kentucky,2008,2
Kentucky,1999,1
Kentucky,2013,9
Kentucky,2010,6
Kentucky,2009,1
Kentucky,2012,8
Kentucky,2015,6
Kentucky,2014,5
Kentucky,2011,5
Kentucky,2000,2
Louisiana,2014,3
Louisiana,2010,4
Louisiana,2015,2
Louisiana,2006,2
Louisiana,2011,3
Louisiana,2012,4
Louisiana,2013,3
Louisiana,2009,1
Louisiana,2007,1
Louisiana,2003,1
Louisiana,2000,1
Louisiana,2008,1
Maine,2012,2
Maine,1998,1
Maine,2007,1
Maine,2010,2
Maine,2011,2
Maine,2016,1
Maine,2008,1
Maine,2006,1
Maine,2014,2
Maine,2009,1
Maryland,2000,8
Maryland,2010,18
Maryland,2015,13
Maryland,2012,23
Maryland,2011,21
Maryland,2003,4
Maryland,2014,27
Maryland,2013,24
Maryland,1997,2
Maryland,2008,9
Maryland,2009,11
Maryland,2007,11
Maryland,1999,5
Maryland,1998,4
Maryland,2001,4
Maryland,2016,7
Maryland,2006,11
Maryland,2004,4
Maryland,1992,2
Maryland,1956,1
Maryland,2002,8
Maryland,2005,3
Maryland,1990,2
Maryland,1996,4
Maryland,1989,1
Maryland,1983,1
Maryland,1987,1
Massachusetts,2014,104
Massachusetts,2008,77
Massachusetts,2013,109
