Market Name,Year,Count
Business Intelligence,2013,34
Data Visualization,2013,25
Cloud Computing,2013,62
Mobile,2013,328
Social Media Management,2013,6
Web Design,2013,6
Web Development,2013,18
Social Media Marketing,2013,20
SEO,2013,5
Software,2013,340
Digital Marketing,2013,7
iOS,2013,47
Apps,2013,130
Android,2013,37
Hardware,2013,85
Casual Games,2013,3
Market Research,2013,14
Enterprise Software,2013,175
Finance,2013,48
Accounting,2013,7
Compliance,2013,3
GovTech,2013,9
FinTech,2013,65
SaaS,2013,203
Analytics,2013,176
Financial Exchanges,2013,1
Data Integration,2013,10
Communications Infrastructure,2013,11
Marketing,2013,24
Loyalty Programs,2013,8
Local,2013,22
Cause Marketing,2013,1
Marketplace,2013,46
B2B,2013,37
E-Commerce,2013,191
Industrial Automation,2013,6
Internet of Things,2013,53
Big Data,2013,149
Risk Management,2013,8
Medical Device,2013,36
3D Printing,2013,14
Manufacturing,2013,37
E-Signature,2013,1
Developer Tools,2013,34
Developer APIs,2013,16
Legal,2013,16
Advertising,2013,69
Social Media,2013,144
Predictive Analytics,2013,42
Internet,2013,124
Email,2013,18
Health Care,2013,238
Consulting,2013,16
Service Industry,2013,24
Technical Support,2013,3
Sports,2013,43
Agriculture,2013,11
Farming,2013,7
Robotics,2013,35
Insurance,2013,15
Financial Services,2013,60
Information Services,2013,10
Information Technology,2013,121
Automotive,2013,29
Transportation,2013,28
Sporting Goods,2013,5
Basketball,2013,1
Video Streaming,2013,18
Music,2013,38
Content,2013,30
Charity,2013,3
Fantasy Sports,2013,3
Marketing Automation,2013,34
Banking,2013,11
Medical,2013,76
Digital Signage,2013,3
Ticketing,2013,5
Concerts,2013,4
3D Technology,2013,18
App Marketing,2013,6
Messaging,2013,37
Gamification,2013,6
Travel,2013,50
Tourism,2013,12
Retail,2013,50
Retail Technology,2013,14
Education,2013,107
Video Games,2013,11
Biotechnology,2013,83
Pharmaceutical,2013,20
Social Network,2013,19
Wellness,2013,14
Cloud Security,2013,10
Cyber Security,2013,33
Security,2013,55
File Sharing,2013,13
Energy Efficiency,2013,6
Smart Home,2013,13
Energy Management,2013,4
Power Grid,2013,2
Wearables,2013,36
Coffee,2013,7
Brewing,2013,5
Food and Beverage,2013,22
Consumer Electronics,2013,46
Commercial Real Estate,2013,10
Real Estate,2013,50
Private Social Networking,2013,16
Billing,2013,4
mHealth,2013,29
Logistics,2013,29
E-Learning,2013,18
Network Security,2013,25
Eyewear,2013,3
E-Commerce Platforms,2013,13
Advanced Materials,2013,6
Therapeutics,2013,25
Search Engine,2013,25
Training,2013,22
Fashion,2013,46
Clinical Trials,2013,4
Health Diagnostics,2013,30
Mobile Payments,2013,14
Art,2013,10
Public Safety,2013,8
Events,2013,25
Energy,2013,18
National Security,2013,2
Biopharma,2013,5
Electronics,2013,17
Elder Care,2013,3
Sensor,2013,8
GreenTech,2013,4
B2C,2013,2
EdTech,2013,41
Home Health Care,2013,1
Professional Services,2013,12
Small and Medium Businesses,2013,24
Children,2013,3
Bioinformatics,2013,4
Genetics,2013,24
Hospital,2013,13
MOOC,2013,2
Hospitality,2013,20
Clean Energy,2013,12
Tea,2013,1
Computer,2013,19
Craft Beer,2013,2
Collaboration,2013,32
Human Resources,2013,31
Video,2013,48
Hedge Funds,2013,1
Machine Learning,2013,63
Computer Vision,2013,16
Physical Security,2013,4
Career Planning,2013,6
Digital Media,2013,37
Cloud Data Services,2013,13
Brand Marketing,2013,25
Content Creators,2013,9
Life Science,2013,4
Chemical,2013,3
Publishing,2013,14
Nutrition,2013,7
TV,2013,3
News,2013,23
Bitcoin,2013,14
Presentations,2013,4
Direct Marketing,2013,5
Speech Recognition,2013,3
Employment,2013,9
Wine And Spirits,2013,8
Restaurants,2013,15
Psychology,2013,4
Reservations,2013,5
PaaS,2013,14
Project Management,2013,15
Image Recognition,2013,5
Artificial Intelligence,2013,58
Industrial,2013,7
Autonomous Vehicles,2013,7
Women's,2013,5
Direct Sales,2013,2
Delivery,2013,12
Recruiting,2013,31
Mining Technology,2013,1
Data Center,2013,11
Product Design,2013,11
Audio,2013,9
Personal Branding,2013,2
Beauty,2013,19
CRM,2013,23
Printing,2013,4
Lifestyle,2013,22
Assistive Technology,2013,2
Developer Platform,2013,6
Gaming,2013,13
Lead Generation,2013,11
Stock Exchanges,2013,4
Home Improvement,2013,1
Home Services,2013,4
Home Renovation,2013,4
Coworking,2013,3
Browser Extensions,2013,2
Rental,2013,7
Law Enforcement,2013,3
Skill Assessment,2013,2
Crowdfunding,2013,20
Privacy,2013,5
Corporate Training,2013,7
Social Media Advertising,2013,2
Ad Targeting,2013,6
Local Business,2013,1
Communities,2013,24
EHR,2013,2
Email Marketing,2013,13
Cloud Infrastructure,2013,21
Dental,2013,2
Impact Investing,2013,4
Aerospace,2013,11
Drones,2013,7
Construction,2013,13
Organic Food,2013,9
Payments,2013,27
Personal Health,2013,15
Wireless,2013,8
Building Material,2013,2
Database,2013,8
Fitness,2013,25
Reading Apps,2013,3
Mobile Advertising,2013,16
Advertising Platforms,2013,24
Health Insurance,2013,6
Organic,2013,4
Ad Retargeting,2013,1
Web Browsers,2013,4
Social,2013,6
Identity Management,2013,10
Nanotechnology,2013,5
Film,2013,5
Hunting,2013,1
Guides,2013,2
Local Advertising,2013,4
Adventure Travel,2013,2
Location Based Services,2013,30
Outdoors,2013,6
eSports,2013,2
Online Auctions,2013,2
Management Information Systems,2013,1
Child Care,2013,4
Real Time,2013,19
LGBT,2013,2
Mobile Apps,2013,37
Cosmetics,2013,6
Media and Entertainment,2013,15
Architecture,2013,2
Simulation,2013,1
Photography,2013,34
Delivery Service,2013,4
Event Management,2013,9
Shopping,2013,30
Asset Management,2013,3
Natural Resources,2013,3
Content Delivery Network,2013,8
Furniture,2013,6
Cloud Management,2013,10
IT Management,2013,3
Home Decor,2013,9
Textiles,2013,1
Video on Demand,2013,4
Blogging Platforms,2013,5
Subscription Service,2013,11
Consumer Applications,2013,1
Visual Search,2013,4
Office Administration,2013,3
Operating Systems,2013,3
Wholesale,2013,3
Air Transportation,2013,2
Credit,2013,3
Self-Storage,2013,5
Customer Service,2013,15
Shipping,2013,6
Supply Chain Management,2013,9
Neuroscience,2013,3
Wedding,2013,7
Fraud Detection,2013,5
Lending,2013,3
Shoes,2013,3
Content Marketing,2013,5
Telecommunications,2013,13
Social CRM,2013,2
Jewelry,2013,5
Q&A,2013,2
Virtual Reality,2013,13
Public Relations,2013,3
Online Games,2013,2
Employee Benefits,2013,2
Incubators,2013,1
Data Mining,2013,5
Sustainability,2013,7
CleanTech,2013,4
Navigation,2013,6
Public Transportation,2013,10
Point of Sale,2013,5
Consumer,2013,11
Interior Design,2013,6
Business Development,2013,7
Trading Platform,2013,1
Crowdsourcing,2013,16
Personalization,2013,13
Lingerie,2013,1
Augmented Reality,2013,11
Content Discovery,2013,11
Venture Capital,2013,8
Family,2013,1
Productivity Tools,2013,3
Journalism,2013,3
Open Source,2013,9
Online Portals,2013,12
Nightlife,2013,3
Gambling,2013,1
Music Venues,2013,1
Wealth Management,2013,4
Natural Language Processing,2013,10
Virtualization,2013,9
Photo Sharing,2013,16
Dating,2013,3
Online Forums,2013,1
Water,2013,6
Text Analytics,2013,2
Contact Management,2013,3
Parenting,2013,8
Aquaculture,2013,1
Business Information Systems,2013,3
Innovation Management,2013,8
Commercial Insurance,2013,1
Advice,2013,3
CAD,2013,1
Toys,2013,6
Collaborative Consumption,2013,14
Tutoring,2013,2
Sharing Economy,2013,3
Recreation,2013,2
Charter Schools,2013,2
Travel Agency,2013,1
Smart Building,2013,5
Document Management,2013,3
Sales Automation,2013,9
Sales,2013,7
Video Advertising,2013,1
College Recruiting,2013,1
Collectibles,2013,1
Freemium,2013,4
Video Chat,2013,3
Cooking,2013,7
Food Processing,2013,8
Professional Networking,2013,7
Language Learning,2013,1
Virtual Currency,2013,2
Virtual Desktop,2013,2
Non Profit,2013,14
Universities,2013,3
IaaS,2013,2
Ad Network,2013,8
Solar,2013,8
Data Center Automation,2013,4
ERP,2013,1
Teenagers,2013,3
RFID,2013,1
Taxi Service,2013,1
Lead Management,2013,3
Ad Server,2013,2
Price Comparison,2013,4
Enterprise,2013,3
Product Research,2013,1
Water Purification,2013,3
Waste Management,2013,1
Green Building,2013,3
Green Consumer Goods,2013,1
Plastics and Rubber Manufacturing,2013,1
Cosmetic Surgery,2013,1
Oil and Gas,2013,6
UX Design,2013,3
Personal Finance,2013,10
Vacation Rental,2013,1
Photo Editing,2013,2
Task Management,2013,3
Mapping Services,2013,4
Vending and Concessions,2013,1
Real Estate Investment,2013,5
Angel Investment,2013,2
Cryptocurrency,2013,2
Digital Entertainment,2013,6
Same Day Delivery,2013,1
Food Delivery,2013,3
IT Infrastructure,2013,3
Application Performance Management,2013,2
Residential,2013,3
Semantic Search,2013,3
Social Entrepreneurship,2013,3
Graphic Design,2013,1
NFC,2013,1
Knowledge Management,2013,6
Management Consulting,2013,1
Social Recruiting,2013,4
Outsourcing,2013,5
Mobile Devices,2013,4
Procurement,2013,4
Higher Education,2013,5
Recycling,2013,2
Web Apps,2013,4
Lighting,2013,4
Call Center,2013,1
Web Hosting,2013,11
Biomass Energy,2013,1
Google Glass,2013,2
Elderly,2013,2
STEM Education,2013,2
Alternative Medicine,2013,2
Social Innovation,2013,1
Quantified Self,2013,1
Fertility,2013,2
Life Insurance,2013,1
Leisure,2013,5
SEM,2013,1
AgTech,2013,1
Social Shopping,2013,3
Coupons,2013,3
Baby,2013,2
PC Games,2013,2
Cloud Storage,2013,4
Diabetes,2013,1
Software Engineering,2013,2
VoIP,2013,3
Gift Card,2013,4
Soccer,2013,1
Funding Platform,2013,2
Politics,2013,2
Product Search,2013,2
Grocery,2013,1
Independent Music,2013,1
Music Education,2013,1
Broadcasting,2013,6
Franchise,2013,1
Auctions,2013,1
Emerging Markets,2013,3
Energy Storage,2013,2
Renewable Energy,2013,8
Vertical Search,2013,1
Social News,2013,2
Property Management,2013,2
Young Adults,2013,2
Video Conferencing,2013,2
Ride Sharing,2013,1
Sponsorship,2013,1
Consumer Lending,2013,6
Debit Cards,2013,1
Linux,2013,1
Credit Cards,2013,3
A/B Testing,2013,1
Resorts,2013,1
Mechanical Engineering,2013,3
Industrial Engineering,2013,1
Consumer Goods,2013,2
Unified Communications,2013,1
Infrastructure,2013,8
Semiconductor,2013,2
Flash Storage,2013,2
ASIC,2013,1
Data Storage,2013,2
Network Hardware,2013,3
Fleet Management,2013,2
Retirement,2013,1
Space Travel,2013,1
Enterprise Applications,2013,4
Flowers,2013,2
Gift,2013,1
Film Production,2013,3
Reputation,2013,2
Consumer Reviews,2013,1
Catering,2013,1
Private Cloud,2013,2
FMCG,2013,1
EBooks,2013,2
Travel Accommodations,2013,1
Human Computer Interaction,2013,2
Debt Collections,2013,1
Electric Vehicle,2013,2
Ediscovery,2013,2
Musical Instruments,2013,1
Intellectual Property,2013,2
Indoor Positioning,2013,4
ISP,2013,1
Geospatial,2013,3
Parking,2013,4
TV Production,2013,1
Millennials,2013,1
Peer to Peer,2013,3
Test and Measurement,2013,2
Nuclear,2013,1
Serious Games,2013,1
Virtual Assistant,2013,1
Embedded Systems,2013,1
Translation Service,2013,1
Primary Education,2013,1
Boating,2013,1
App Discovery,2013,1
Meeting Software,2013,2
Veterinary,2013,1
Pet,2013,2
Scheduling,2013,2
Music Streaming,2013,2
Hotel,2013,1
Intelligent Systems,2013,1
Environmental Consulting,2013,1
Machinery Manufacturing,2013,1
DIY,2013,1
Celebrity,2013,1
Commercial,2013,2
Homeless Shelter,2013,1
Transaction Processing,2013,1
Laundry and Dry-cleaning,2013,1
Communication Hardware,2013,1
Social Bookmarking,2013,1
Dietary Supplements,2013,1
Wind Energy,2013,1
Motion Capture,2013,1
Rehabilitation,2013,1
Nutraceutical,2013,1
Service Industry,2004,6
Document Management,2004,1
Health Care,2004,72
Biotechnology,2004,55
Health Diagnostics,2004,10
Medical,2004,29
Medical Device,2004,23
Internet,2004,19
Advertising,2004,16
Lead Generation,2004,2
Pharmaceutical,2004,12
Hospitality,2004,7
Film,2004,1
Media and Entertainment,2004,4
Content,2004,7
Consumer Electronics,2004,2
Enterprise Software,2004,48
Video Games,2004,3
Non Profit,2004,1
Politics,2004,1
Business Intelligence,2004,4
Mobile,2004,40
Risk Management,2004,4
Analytics,2004,26
Security,2004,20
Semiconductor,2004,11
Manufacturing,2004,18
Information Technology,2004,31
Cloud Computing,2004,16
Digital Media,2004,6
Publishing,2004,1
Video,2004,20
Property Management,2004,2
Software,2004,60
Computer,2004,9
CRM,2004,3
Construction,2004,3
Transportation,2004,5
Therapeutics,2004,13
EdTech,2004,3
Education,2004,7
E-Commerce,2004,14
Finance,2004,8
SaaS,2004,23
Insurance,2004,1
Web Browsers,2004,1
News,2004,3
Energy,2004,7
Clean Energy,2004,5
Consumer,2004,3
Online Portals,2004,3
Technical Support,2004,2
Consulting,2004,5
Cosmetics,2004,1
Beauty,2004,2
Music,2004,7
Art,2004,1
Price Comparison,2004,2
Electronics,2004,13
Financial Services,2004,3
Messaging,2004,8
Trading Platform,2004,1
Delivery,2004,1
Nanotechnology,2004,5
Communities,2004,4
Social Media,2004,14
Genetics,2004,6
A/B Testing,2004,1
Personalization,2004,2
Test and Measurement,2004,2
Apps,2004,9
Ad Network,2004,2
Compliance,2004,1
B2B,2004,3
Search Engine,2004,17
Video Streaming,2004,5
Data Center,2004,4
Cloud Data Services,2004,7
Data Integration,2004,2
Data Storage,2004,3
Real Time,2004,4
Predictive Analytics,2004,4
Data Visualization,2004,4
Marketplace,2004,2
Lighting,2004,2
Oil and Gas,2004,1
Web Development,2004,7
Geospatial,2004,2
Customer Service,2004,6
IT Management,2004,3
Outdoors,2004,1
Chemical,2004,3
Consumer Goods,2004,1
Smart Home,2004,1
Information Services,2004,6
Sensor,2004,1
Wireless,2004,12
Content Discovery,2004,1
Automotive,2004,2
Aerospace,2004,1
CleanTech,2004,1
Agriculture,2004,1
Network Security,2004,8
Online Auctions,2004,1
Auctions,2004,1
Diabetes,2004,2
Web Design,2004,2
Blogging Platforms,2004,3
Marketing Automation,2004,2
Advertising Platforms,2004,3
Travel,2004,6
Product Search,2004,1
Retail,2004,4
Mobile Advertising,2004,3
Social Network,2004,4
App Marketing,2004,1
Developer Tools,2004,3
Video on Demand,2004,1
Sports,2004,3
Hospital,2004,6
File Sharing,2004,5
Photography,2004,3
Alternative Medicine,2004,2
Leisure,2004,1
Mobile Apps,2004,3
Events,2004,2
Ediscovery,2004,2
Social Media Marketing,2004,1
Concerts,2004,1
Email Marketing,2004,2
Big Data,2004,10
Web Hosting,2004,10
Product Design,2004,5
Fashion,2004,4
Wearables,2004,2
Content Delivery Network,2004,3
Training,2004,3
Biopharma,2004,4
Water,2004,2
Water Purification,2004,1
Audio,2004,2
Clinical Trials,2004,3
Gift Card,2004,1
Renewable Energy,2004,3
Recycling,2004,1
Sustainability,2004,1
Banking,2004,3
Cyber Security,2004,5
Email,2004,1
Virtualization,2004,7
Professional Services,2004,2
FinTech,2004,4
Digital Entertainment,2004,2
Physical Security,2004,1
Infrastructure,2004,4
Outsourcing,2004,1
Telecommunications,2004,6
VoIP,2004,2
Energy Storage,2004,3
Energy Efficiency,2004,4
Jewelry,2004,2
Women's,2004,2
Solar,2004,1
SEO,2004,6
Collaboration,2004,5
Mining Technology,2004,1
Law Enforcement,2004,1
Meeting Software,2004,1
Enterprise Applications,2004,5
Digital Signage,2004,1
Lead Management,2004,3
Artificial Intelligence,2004,3
Sales Automation,2004,2
Machine Learning,2004,3
Corporate Training,2004,1
Human Resources,2004,2
Recruiting,2004,2
Enterprise,2004,3
E-Learning,2004,1
Hardware,2004,8
Marketing,2004,5
Reputation,2004,1
Internet of Things,2004,6
Professional Networking,2004,1
Government,2004,1
Public Transportation,2004,2
Electrical Distribution,2004,1
Life Science,2004,2
Business Development,2004,1
Mobile Payments,2004,2
PaaS,2004,1
Cloud Management,2004,4
Social,2004,2
Virtual Reality,2004,1
3D Technology,2004,3
Embedded Systems,2004,2
Rental,2004,1
Real Estate,2004,2
Cloud Infrastructure,2004,1
Network Hardware,2004,1
Identity Management,2004,3
Battery,2004,1
Data Center Automation,2004,1
Industrial,2004,3
TV,2004,2
Film Production,2004,1
Creative Agency,2004,1
Ad Targeting,2004,2
Electric Vehicle,2004,1
Small and Medium Businesses,2004,1
Energy Management,2004,1
Natural Resources,2004,2
Landscaping,2004,1
FPGA,2004,1
E-Commerce Platforms,2004,2
Shopping,2004,5
Embedded Software,2004,1
Peer to Peer,2004,1
Management Information Systems,2004,1
Handmade,2004,1
Gaming,2004,3
Film Distribution,2004,2
Semantic Search,2004,1
Developer Platform,2004,4
Mobile Devices,2004,4
Virtual Currency,2004,1
Food and Beverage,2004,3
Neuroscience,2004,1
Fitness,2004,1
Open Source,2004,4
Local,2004,1
Commercial,2004,1
EDA,2004,1
GreenTech,2004,1
Internet Radio,2004,1
Location Based Services,2004,1
Fuel,2004,2
Coupons,2004,1
Grocery,2004,1
Broadcasting,2004,2
Web Apps,2004,1
Employment,2004,1
Video Chat,2004,1
Legal,2004,1
Online Games,2004,1
Lifestyle,2004,1
Restaurants,2004,2
Organic Food,2004,1
Optical Communication,2004,1
Food Processing,2004,1
Logistics,2004,1
Podcast,2004,1
Fleet Management,2004,1
Food Delivery,2004,1
Sporting Goods,2004,1
Tutoring,2004,1
Retail Technology,2004,1
Video Games,2006,5
Digital Media,2006,14
Gaming,2006,8
Advanced Materials,2006,3
Biotechnology,2006,91
Medical Device,2006,32
Information Technology,2006,39
Health Care,2006,81
Health Diagnostics,2006,19
Software,2006,108
Information Services,2006,11
Advertising,2006,52
Automotive,2006,7
Robotics,2006,4
Public Transportation,2006,2
Hardware,2006,18
Marketing Automation,2006,7
Data Center,2006,2
Enterprise Software,2006,84
IT Infrastructure,2006,1
Virtualization,2006,9
Legal,2006,5
Cyber Security,2006,6
Intellectual Property,2006,3
Mobile,2006,57
Apps,2006,19
Web Hosting,2006,8
Web Browsers,2006,3
Application Performance Management,2006,3
Pharmaceutical,2006,27
Medical,2006,39
3D Technology,2006,1
Messaging,2006,8
Email,2006,2
Advertising Platforms,2006,11
Marketing,2006,17
Data Integration,2006,5
Content,2006,20
Aerospace,2006,3
Drones,2006,2
Mobile Advertising,2006,5
Brand Marketing,2006,10
App Marketing,2006,5
File Sharing,2006,6
Music,2006,12
Social Network,2006,5
E-Commerce,2006,30
Social,2006,4
Human Resources,2006,6
Renewable Energy,2006,11
Energy,2006,15
Internet,2006,39
Wedding,2006,1
Events,2006,7
Therapeutics,2006,19
Hospital,2006,2
Clinical Trials,2006,5
Social Media Management,2006,2
Social Media Advertising,2006,3
Social Media Marketing,2006,5
Marketplace,2006,8
Tutoring,2006,3
Child Care,2006,1
Elder Care,2006,1
Nanotechnology,2006,4
Outsourcing,2006,2
Ediscovery,2006,4
SaaS,2006,42
Open Source,2006,4
Video Conferencing,2006,2
Video,2006,33
Video Streaming,2006,14
GPU,2006,1
Insurance,2006,2
Analytics,2006,37
Consulting,2006,8
Cloud Computing,2006,27
Collaboration,2006,11
Online Games,2006,6
Developer Platform,2006,7
CleanTech,2006,4
Energy Management,2006,4
Social Media,2006,32
Market Research,2006,6
Sales Automation,2006,3
Telecommunications,2006,7
Big Data,2006,7
B2B,2006,2
Machine Learning,2006,3
Artificial Intelligence,2006,5
Music Streaming,2006,1
Search Engine,2006,23
Manufacturing,2006,22
Data Mining,2006,2
Logistics,2006,3
Test and Measurement,2006,2
Mobile Apps,2006,9
Life Science,2006,10
Biopharma,2006,9
Ad Network,2006,3
Publishing,2006,11
SEO,2006,4
B2C,2006,1
Content Delivery Network,2006,6
Content Creators,2006,2
Predictive Analytics,2006,2
Data Visualization,2006,3
Security,2006,14
Communications Infrastructure,2006,1
Video on Demand,2006,2
Enterprise Applications,2006,2
Banking,2006,2
Fraud Detection,2006,1
Network Security,2006,4
Database,2006,1
Computer,2006,11
Shopping,2006,8
Electronics,2006,7
Supply Chain Management,2006,2
Transportation,2006,2
Business Intelligence,2006,7
IaaS,2006,4
Lead Generation,2006,3
Reputation,2006,2
Blogging Platforms,2006,5
Finance,2006,15
FinTech,2006,10
Financial Services,2006,11
Real Time,2006,5
Accounting,2006,2
Payments,2006,7
Credit Cards,2006,1
Nutraceutical,2006,1
Dietary Supplements,2006,1
Dental,2006,2
Developer Tools,2006,10
Web Development,2006,12
Fitness,2006,5
Web Design,2006,4
Billing,2006,1
Chemical,2006,3
Industrial Engineering,2006,1
Mechanical Engineering,2006,2
Toys,2006,1
Consumer,2006,3
CRM,2006,12
Lead Management,2006,3
Sports,2006,8
Virtual Currency,2006,3
Diabetes,2006,3
Oil and Gas,2006,3
